"","NA.","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
"1","NA.","Agriculture et pêche","Industries manufacturières","Industries Agro-alimentaires","Industrie du Tabac","Textile, Habillement et cuir","Industries diverses","Raffinage de pétrole","Industries chimiques","Materiaux de construction, céramique et verre","Industries mécaniques et éléctriques","Industries non manufacturières","Extraction de pétrole  et gaz naturel","Mines","Electricité et Gaz","Eau","Bâtiment et génie civil","Activités de services marchands","Entretien et réparation","Commerce","Services d'hôtellerie et de restauration","Transports","Poste et télécommunication","Services financiers","Autres Services marchands","dont logement","Equipements collectifs des administrations publiques","Education et formation","Santé","Assainissement","Urbanisme","Social et culturel","Services administratifs divers","Total"
"2","X1997"," 736.0"," 755.7"," 161.9","  11.4"," 213.5"," 103.4","   8.4","  81.0","  76.1"," 100.0"," 713.6"," 195.2","  51.5"," 329.7","  40.3","  96.9","2624.0","   7.9","  95.7"," 324.9"," 719.8"," 218.0","  64.6","1193.2"," 748.4"," 601.8"," 173.1","  55.5","  16.6","  39.6","  54.0"," 263.0","5431.1"
"3","X1998"," 824.3"," 891.2"," 207.4","  14.4"," 289.5"," 105.5","   9.5","  72.0","  73.0"," 120.0"," 769.4"," 225.1","  52.0"," 343.0","  50.2","  99.1","2931.0","  11.9"," 101.4"," 341.0"," 703.8"," 240.0","  87.8","1445.1"," 848.6"," 551.2"," 195.2","  60.4","  17.4","  39.9","  67.6"," 170.7","5967.1"
"4","X1999"," 860.7"," 883.8"," 218.8","  13.2"," 248.6"," 107.6","  10.4","  60.0","  90.2"," 135.0"," 744.9"," 230.8","  55.8"," 282.7","  69.8"," 105.8","3453.5","  14.7"," 113.2"," 331.0","1184.0"," 213.6"," 130.8","1466.3"," 941.8"," 685.4"," 202.6","  65.9","  20.3","  40.7","  69.7"," 286.2","6628.4"
"5","X2000"," 890.0"," 923.3"," 205.5","   5.3"," 257.2"," 122.3","  12.3","  68.0"," 102.7"," 150.0"," 900.6"," 260.9","  44.4"," 388.5","  70.0"," 136.8","3967.9","  15.2"," 126.9"," 324.0","1120.0"," 369.9","  98.7","1913.2","1051.3"," 725.5"," 221.5","  71.6","  21.9","  44.4","  75.7"," 290.4","7407.3"
"6","X2001"," 930.0","1013.0"," 194.4","   9.6"," 280.5"," 139.4","  21.0","  63.0"," 130.1"," 175.0","1002.9"," 349.0","  61.1"," 388.1","  64.0"," 140.7","4211.9","  15.3"," 170.0"," 355.0","1003.6"," 414.9"," 107.2","2145.9","1102.0"," 882.0"," 262.1","  84.7","  25.9","  52.5","  89.6"," 367.2","8039.8"
"7","X2002"," 821.7","1095.6"," 189.5","  10.5"," 254.5"," 182.0","  20.0","  56.0"," 203.1"," 180.0","1004.9"," 457.0","  63.3"," 259.6","  75.0"," 150.0","4413.5","  17.5"," 178.6"," 340.0"," 954.9"," 545.0"," 100.2","2277.3","1232.3"," 812.0"," 276.9","  77.1","  21.4","  30.2"," 103.2"," 303.2","8147.6"
"8","X2003"," 780.0","1094.4"," 198.8","  11.2"," 268.1"," 169.1","  20.0","  77.0"," 190.2"," 160.0"," 897.8"," 330.0","  62.0"," 275.0","  85.4"," 145.4","4385.2","  18.7"," 185.1"," 320.0"," 868.7"," 593.5","  84.4","2314.8","1313.5"," 943.3"," 292.8","  80.8","  30.9","  41.3"," 104.3"," 393.2","8100.7"
"9","X2004"," 868.3","1000.0"," 220.4","   4.6"," 204.8"," 137.0","  18.0","  89.0"," 141.2"," 185.0"," 962.8"," 318.0","  66.5"," 287.5"," 120.9"," 169.9","4808.9","  19.4"," 193.3"," 320.0","1014.4"," 655.0","  99.0","2507.8","1382.2"," 954.5"," 317.0"," 130.9","  33.5","  44.8"," 113.0"," 315.3","8594.5"
"10","X2005"," 786.6","1043.2"," 216.4","  13.6"," 200.9"," 138.7","  28.0","  82.0"," 163.6"," 200.0","1029.5"," 345.0","  59.4"," 336.1"," 104.0"," 185.0","5207.1","  20.7"," 195.0"," 310.0","1207.7"," 586.0"," 123.5","2764.2","1529.3"," 914.9"," 292.4"," 117.7","  30.6","  41.0"," 103.4"," 329.8","8981.3"
"11","X2006","  912.5"," 1069.3","  229.9","   10.1","  190.5","  142.8","   25.0","   80.0","  166.0","  225.0"," 1853.0"," 1123.0","   81.5","  382.3","   76.2","  190.0"," 5637.1","   27.4","  199.8","  330.0"," 1359.6","  650.0","  139.9"," 2930.4"," 1642.1","  861.5","  300.4","  114.7","   29.1","   38.9","  102.5","  275.9","10333.4"
"12","X2007","  921.0"," 1210.9","  261.2","    8.8","  237.6","  138.9","   33.0","   92.0","  154.4","  285.0"," 2559.3"," 1831.0","   98.7","  342.1","   77.5","  210.0"," 5797.9","   29.1","  212.3","  350.8"," 1595.1","  700.0","  168.6"," 2742.0"," 1694.5"," 1001.4","  317.1","  122.4","   37.0","   43.1","  111.7","  370.1","11490.5"
"13","X2008","  923.4"," 1489.9","  270.1","    9.9","  275.7","  140.0","   40.0","  137.6","  298.6","  318.0"," 3158.6"," 2379.0","   99.6","  361.0","   94.0","  225.0"," 6280.8","   31.3","  240.0","  352.8"," 1977.6","  748.5","  169.7"," 2760.9"," 1692.7"," 1207.7","  366.6","  141.5","   42.8","   49.8","  129.1","  477.9","13060.4"
"14","X2009","  976.8"," 1452.1","  285.8","   12.0","  218.8","  143.3","   44.6","  150.9","  252.6","  344.1"," 3575.0"," 2277.0","  139.8","  796.6","   92.1","  269.5"," 6848.9","   32.5","  247.6","  375.7"," 2187.8","  861.2","  179.5"," 2964.6"," 1906.8"," 1425.5","  403.9","  158.5","   51.5","   57.5","  156.2","  597.9","14278.2"
"15","X2010"," 1045.6"," 1989.0","  298.0","   19.1","  201.0","  170.0","  130.0","  347.1","  482.0","  341.8"," 3050.3"," 1762.0","  145.9","  802.0","   80.5","  259.9"," 7632.1","   33.8","  282.9","  470.0"," 2072.7","  937.2","  227.1"," 3608.4"," 2493.0"," 1785.6","  407.2","  160.9","   38.1","   31.0","  130.6"," 1017.8","15502.5"
"16","X2011"," 1055.6"," 2006.4","  340.9","    9.2","  159.9","  184.0","   70.0","  244.8","  713.0","  284.6"," 2212.1"," 1102.0","   69.0","  774.0","  111.0","  156.2"," 6853.5","   40.1","  273.6","  280.0"," 1721.6","  557.2","  187.4"," 3793.6"," 2908.0"," 1968.3","  417.2","  172.5","   81.1","   64.6","  153.5"," 1079.4","14096.0"
"17","X2012"," 1200.6"," 1745.6","  375.0","   10.6","  180.3","  230.0","   80.0","  282.0","  280.6","  307.2"," 2290.0"," 1120.0","   62.5","  569.0","  163.4","  375.1"," 8347.2","   46.2","  364.0","  320.0"," 2429.2","  771.4","  146.1"," 4270.3"," 2760.0"," 2240.8","  486.2","  191.4","   89.8","   72.7","  202.4"," 1198.3","15824.2"
"18","X2013"," 1205.5"," 2116.2","  425.0","   15.0","  170.2","  220.0","   56.1","  360.0","  530.0","  340.0"," 2823.8"," 1379.0","  120.6","  871.0","  152.2","  301.0"," 8147.3","   47.2","  364.1","  350.0"," 1895.4","  675.2","  184.7"," 4630.7"," 2960.0"," 2172.9","  425.6","  171.8","   93.0","   69.3","  178.9"," 1234.3","16465.7"
"19","X2014"," 1111.2"," 1753.4","  435.0","   15.0","  145.0","  250.0","   40.8","  250.0","  247.0","  370.6"," 2638.6"," 1204.0","   98.1","  673.8","  202.6","  460.1"," 8606.7","   69.0","  566.9","  280.0"," 2080.7","  664.0","  207.7"," 4738.4"," 3026.0"," 2325.2","  410.5","  161.3","  109.9","   73.4","  183.6"," 1386.5","16435.2"
"20","X2015"," 1200.0"," 1784.2","  440.0","   22.0","  140.0","  250.0","   87.2","  220.0","  205.0","  420.0"," 2366.7"," 1400.0","  146.7","  418.0","  102.0","  300.0"," 8849.6","   80.0","  494.5","  292.3"," 2604.4","  541.9","  216.3"," 4620.2"," 3048.0"," 2622.3","  419.6","  190.3","  111.0","   78.0","  191.3"," 1632.1","16822.9"
